Date,Week,Tm,,Opp,Result,Qtr,Time,LOS,Play Summary,Punt distance (gross),Pts,Downed method,Pts,Punt ended at,Pts,Bonus,Pts,TUPA score,,TUPA Scoring Key,Points
2021-10-31,8,PHI,@,DET,W 44-6,1,12:54,Own 4,Jack Fox punts 39 yards (39) caught on the fly by KhaDarel Hodge (10) at the 4-yard line (20).,39,39,Caught on the fly by your own team,10,4,20,None,0,69,,,
2022-01-02,17,OAK,@,IND,W 23-20,3,4:27,Own 4,68 TUPA = Rigoberto Sanchez of the Colts punts 38 yards (38) caught by Ashton Dulin (10) at the 4-yard line (20).,38,38,Caught on the fly by your own team,10,4,20,None,0,68,,,
2021-10-24,7,OAK,,PHI,W 33-22,2,6:04,Own 4,Arryn Siposs of the Eagles punts 45 yards (45). Fair caught by Hunter Renfrow (0) at the 4-yard line (20).,45,45,Fair caught by the other team,0,4,20,None,0,65,,,
2021-11-21,11,PHI,,NOR,W 40-29,2,14:08,Own 4,Blake Gillikin of the Saints punts 39 yards (39) downed by Kaden Elliss (5) at the 4-yard line (20).,39,39,Touched on the ground,5,4,20,None,0,64,,,
2022-01-02,17,SFO,,HOU,W 23-7,1,2:17,Own 4,64 TUPA = Cameron Johnston of the Texans punts 39 yards (39) downed by A.J. Moore (5) at the 4-yard line (20).,39,39,Caught on the bounce,5,4,20,None,0,64,,,
2021-12-02,13,DAL,@,NOR,W 27-17,4,14:07,Own 4,Blake Gillikin of the Saints punts 33 yards (33) caught on the fly by Lil'Jordan Humphrey (10) at the 4-yard line (20).,33,33,Caught on the fly by your own team,10,4,20,None,0,63,,,
2021-12-19,15,JAX,,HOU,L 30-16,4,6:26,Own 4,63 TUPA = Cameron Johnston of the Texans punts 38 yards (38) downed by Tremon Smith (5) at the 4-yard line (20).,38,38,Touched on the ground,5,4,20,None,0,63,,,
2021-10-17,6,CAR,,MIN,L 34-28,4,2:09,Own 4,Jordan Berry of the Vikings punts 37 yards (37) downed by Dan Chisena (5) at the 4-yard line (20).,37,37,Caught on the bounce,5,4,20,None,0,62,,,
2022-01-02,17,RAM,@,BAL,W 20-19,1,10:33,Own 4,61 TUPA = Sam Koch of the Ravens punts 36 yards (36) downed by Tylan Wallace (5) at the 4-yard line (20).,36,36,Caught on the bounce,5,4,20,None,0,61,,,
2021-09-12,1,GNB,@,NOR,L 38-3,3,6:11,Own 5,Blake Gillikin of the Saints punts 45 yards (45) downed by Ty Montgomery (5) at the 5-yard line (10).,45,45,Touched on the ground (Almost caught on the fly),5,5,10,None,0,60,,Touchback,-20
2021-12-06,13,NE,@,BUF,W 14-10,2,0:07,Own 5,Jake Bailey of the Patriots punts 45 yards (45) rolling to a stop (5) at the 5-yard line (10).,45,45,Touched on the ground,5,5,10,None,0,60,,,
2021-10-03,4,TAM,@,NWE,W 19-17,2,1:49,Own 5,Jake Bailey of the Patriots punts 44 yards (44) downed by Justin Bethel (5) at the 5-yard line (10).      ,44,44,Touched on the ground,5,5,10,None,0,59,,Downed by the punter,20
2021-10-17,6,CIN,@,DET,W 34-11,3,2:30,Own 5,Jack Fox of the Lions punts 49 yards (49). Fair caught by Trenton Irwin (0) at the 5-yard line (10).,49,49,Fair caught by the other team,0,5,10,None,0,59,,,
2021-10-17,6,GNB,@,CHI,W 24-14,2,0:11,Own 5,Pat O'Donnell of the Bears punts 43 yards (43) downed by Deon Bush (5) at the 5-yard line (10).,43,43,Caught on the bounce,5,5,10,None,0,58,,,
2021-09-12,1,MIN,@,CIN,L 27-24,4,1:48,Own 5,Kevin Huber of the Bengals punts 42 yards (42) downed by Stanley Morgan (5) at the 5-yard line (10).,42,42,Caught on the bounce,5,5,10,None,0,57,,1-yard line ,50
2021-11-07,9,CAR,,NWE,L 24-6,1,5:35,Own 5,Jake Bailey of the Patriots punts 42 yards (42) downed by Justin Bethel (5) at the 5-yard line (10).,42,42,Caught on the bounce,5,5,10,None,0,57,,,
2021-10-17,6,HOU,@,IND,L 31-3,2,1:49,Own 5,Rigoberto Sanchez of the Colts punts 40 yards (40) downed by Luke Rhodes (5) at the 5-yard line (10).,40,40,Caught on the bounce,5,5,10,None,0,55,,,
2021-09-26,3,OAK,,MIA,W 31-28,2,6:20,Own 5,Michael Palardy of the Dolphins punts 34 yards (34) caught on the fly by Mack Hollins (10) at the 5-yard line (10). ,34,34,Caught on the fly by your own team,10,5,10,None,0,54,,Touched on the ground,5
2021-11-11,10,MIA,,BAL,W 22-10,3,11:46,Own 5,Sam Koch of the Ravens punts 39 yards (39) downed by Tylan Wallace (5) at the 5-yard line (10).,39,39,Caught on the bounce,5,5,10,None,0,54,,,
2021-09-09,1,DAL,@,TAM,L 31-29,2,14:42,Own 5,Bradley Pinion of the Buccaneers punts 38 yards (38) downed by Jaydon Mickens (5) at the 5-yard line (10).,38,38,Caught on the bounce,5,5,10,None,0,53,,Blocked punt or fumble,Yard-line of scrimmage - 100
